key,species,phylum,type
AG,red_turban_snail,gastropods,invertebrate
BT,black_turban,gastropods,invertebrate
PR,purple_ring_snail,gastropods,invertebrate
ME,hooded_nudibranch,nudibranch,invertebrate
DI,giant_dentronotus,nudibranch,invertebrate
CI,ciona_savignyl,tunicates,invertebrate
IC,ciona_intestinalis,tunicates,invertebrate
ST,invasive_stalked_turn,tunicates,invertebrate
SM,stalked_tunicate,tunicates,invertebrate
HA,sea_peach,tunicates,invertebrate
CF,broad_base_tunicate,tunicates,invertebrate
OT,orange_social_tunicate,tunicates,invertebrate
DD,didemnum,tunicates,invertebrate
CM,coumpnd_tun,tunicates,invertebrate
SL,solitary_tun,tunicates,invertebrate
OR,oyster,bivalves,invertebrate
MU,blue_mussels,bivalves,invertebrate
MC,california_museel,bivalves,invertebrate
PI,piddock,bivalves,invertebrate
SS,swimming_scallop,bivalves,invertebrate
RS,rock_scallop,bivalves,invertebrate
GF,green_false_jingle,bivalves,invertebrate
GB,giant_barnacle,crustaceans,invertebrate
TB,thatched_barnacle,crustaceans,invertebrate
OB,barnacle,crustaceans,invertebrate
RR,red_rock_crab,crustaceans,invertebrate
DC,dungeness_crab,crustaceans,invertebrate
CG,cancer_gracillis,crustaceans,invertebrate
CB,hairy_cancer_grab,crustaceans,invertebrate
PS,puget_sound_king_crab,crustaceans,invertebrate
HC,heart_crab,crustaceans,invertebrate
UC,umbrella_butterfly_crab,crustaceans,invertebrate
HM,helmet crab,crustaceans,invertebrate
PW,scaled_crab,crustaceans,invertebrate
KC,kelp_crab,crustaceans,invertebrate
RC,decorator_crab,crustaceans,invertebrate
CT,crab,crustaceans,invertebrate
SH,shrimp,crustaceans,invertebrate
PU,purple_urchin,echinoderms,invertebrate
SD,sand_dollar,echinoderms,invertebrate
SO,solaster,echinoderms,invertebrate
PB,giant_pink_star,echinoderms,invertebrate
CP,rose_star,echinoderms,invertebrate
PO,ochre_star,echinoderms,invertebrate
AM,bat_star,echinoderms,invertebrate
LS,leather_star,echinoderms,invertebrate
VS,vermillion_star,echinoderms,invertebrate
CS,cookie_star,echinoderms,invertebrate
CU,cushion_star,echinoderms,invertebrate
HR,blood_star,echinoderms,invertebrate
MT,mottled_star,echinoderms,invertebrate
PN,painted_star,echinoderms,invertebrate
VC,velcro_star,echinoderms,invertebrate
ZS,brittle_star,echinoderms,invertebrate
GE,basket_star,echinoderms,invertebrate
WC,white_cucumbers,echinoderms,invertebrate
CR,crinoids,echinoderms,invertebrate
BP,bryozoan_flat,bryozoa,invertebrate
LF,horse_clam,mollusk,invertebrate
NA.,tube_dwell_anemone,cnidarian,invertebrate
LA,sponge_erect,porifera,invertebrate
BB,sponge_flat,porifera,invertebrate
DG,red_sea_cucumber,echinoderms,invertebrate
AL,green_urchin,echinoderms,invertebrate
GH,pycnopodia,echinoderms,invertebrate
OP,orange_cuke,echinoderms,invertebrate
BF,cup_coral,cnidarian,invertebrate
LG,abalone,mollusk,invertebrate
RH,red_urchin,echinoderms,invertebrate
EN,geoduck,mollusk,invertebrate
RB,bryozoan_erect,bryozoa,invertebrate
RF,gian_plumose,cnidarian,invertebrate
FC,NA,NA,NA
SU,NA,NA,NA
DN,NA,NA,NA
DE,NA,NA,NA
